layer,kept,masked,total,survival
transformer.wte.weight,33424214,5209258,38633472,86.51620542932305
transformer.wpe.weight,539231,247201,786432,68.56676737467448
transformer.h.0.ln_1.weight,768,0,768,100.0
transformer.h.0.attn.c_attn.weight,1335125,434347,1769472,75.45329906322338
transformer.h.0.attn.c_proj.weight,329609,260215,589824,55.882602267795136
transformer.h.0.ln_2.weight,768,0,768,100.0
transformer.h.0.mlp.c_fc.weight,1857773,501523,2359296,78.74268425835504
transformer.h.0.mlp.c_proj.weight,1577399,781897,2359296,66.858885023329
transformer.h.1.ln_1.weight,768,0,768,100.0
transformer.h.1.attn.c_attn.weight,1343256,426216,1769472,75.91281467013889
transformer.h.1.attn.c_proj.weight,334373,255451,589824,56.69030083550347
transformer.h.1.ln_2.weight,768,0,768,100.0
transformer.h.1.mlp.c_fc.weight,1942680,416616,2359296,82.34151204427083
transformer.h.1.mlp.c_proj.weight,1703941,655355,2359296,72.22243414984808
transformer.h.2.ln_1.weight,768,0,768,100.0
transformer.h.2.attn.c_attn.weight,1363591,405881,1769472,77.0620275426794
transformer.h.2.attn.c_proj.weight,356540,233284,589824,60.44854058159722
transformer.h.2.ln_2.weight,768,0,768,100.0
transformer.h.2.mlp.c_fc.weight,1956396,402900,2359296,82.92287190755208
transformer.h.2.mlp.c_proj.weight,1639708,719588,2359296,69.49988471137152
transformer.h.3.ln_1.weight,768,0,768,100.0
transformer.h.3.attn.c_attn.weight,1381897,387575,1769472,78.0965734411169
transformer.h.3.attn.c_proj.weight,396565,193259,589824,67.23446316189236
transformer.h.3.ln_2.weight,768,0,768,100.0
transformer.h.3.mlp.c_fc.weight,1978197,381099,2359296,83.84691874186198
transformer.h.3.mlp.c_proj.weight,1722257,637039,2359296,72.99876742892795
transformer.h.4.ln_1.weight,768,0,768,100.0
transformer.h.4.attn.c_attn.weight,1402358,367114,1769472,79.25290708188658
transformer.h.4.attn.c_proj.weight,409420,180404,589824,69.41392686631944
transformer.h.4.ln_2.weight,768,0,768,100.0
transformer.h.4.mlp.c_fc.weight,1983741,375555,2359296,84.08190409342448
transformer.h.4.mlp.c_proj.weight,1751110,608186,2359296,74.22171698676215
transformer.h.5.ln_1.weight,768,0,768,100.0
transformer.h.5.attn.c_attn.weight,1410686,358786,1769472,79.72355595341435
transformer.h.5.attn.c_proj.weight,413871,175953,589824,70.16855875651042
transformer.h.5.ln_2.weight,768,0,768,100.0
transformer.h.5.mlp.c_fc.weight,1987031,372265,2359296,84.22135247124567
transformer.h.5.mlp.c_proj.weight,1788325,570971,2359296,75.79909430609808
transformer.h.6.ln_1.weight,768,0,768,100.0
transformer.h.6.attn.c_attn.weight,1417092,352380,1769472,80.08558485243056
transformer.h.6.attn.c_proj.weight,420871,168953,589824,71.35535346137152
transformer.h.6.ln_2.weight,768,0,768,100.0
transformer.h.6.mlp.c_fc.weight,1987816,371480,2359296,84.25462510850694
transformer.h.6.mlp.c_proj.weight,1800499,558797,2359296,76.31509568956163
transformer.h.7.ln_1.weight,768,0,768,100.0
transformer.h.7.attn.c_attn.weight,1423551,345921,1769472,80.45060899522569
transformer.h.7.attn.c_proj.weight,423081,166743,589824,71.73004150390625
transformer.h.7.ln_2.weight,768,0,768,100.0
transformer.h.7.mlp.c_fc.weight,1986996,372300,2359296,84.21986897786458
transformer.h.7.mlp.c_proj.weight,1790361,568935,2359296,75.88539123535156
transformer.h.8.ln_1.weight,768,0,768,100.0
transformer.h.8.attn.c_attn.weight,1438656,330816,1769472,81.30425347222223
transformer.h.8.attn.c_proj.weight,440974,148850,589824,74.76365831163194
transformer.h.8.ln_2.weight,768,0,768,100.0
transformer.h.8.mlp.c_fc.weight,1985017,374279,2359296,84.135988023546
transformer.h.8.mlp.c_proj.weight,1824519,534777,2359296,77.33319600423177
transformer.h.9.ln_1.weight,768,0,768,100.0
transformer.h.9.attn.c_attn.weight,1441652,327820,1769472,81.4735695167824
transformer.h.9.attn.c_proj.weight,456489,133335,589824,77.39410400390625
transformer.h.9.ln_2.weight,768,0,768,100.0
transformer.h.9.mlp.c_fc.weight,1986029,373267,2359296,84.1788821750217
transformer.h.9.mlp.c_proj.weight,1864501,494795,2359296,79.02785407172308
transformer.h.10.ln_1.weight,768,0,768,100.0
transformer.h.10.attn.c_attn.weight,1458180,311292,1769472,82.40763346354167
transformer.h.10.attn.c_proj.weight,468195,121629,589824,79.37876383463542
transformer.h.10.ln_2.weight,768,0,768,100.0
transformer.h.10.mlp.c_fc.weight,1985476,373820,2359296,84.15544297960069
transformer.h.10.mlp.c_proj.weight,1928326,430970,2359296,81.73311021592882
transformer.h.11.ln_1.weight,768,0,768,100.0
transformer.h.11.attn.c_attn.weight,1458781,310691,1769472,82.44159839771412
transformer.h.11.attn.c_proj.weight,486619,103205,589824,82.50240749782986
transformer.h.11.ln_2.weight,768,0,768,100.0
transformer.h.11.mlp.c_fc.weight,1992302,366994,2359296,84.44476657443576
transformer.h.11.mlp.c_proj.weight,1928268,431028,2359296,81.73065185546875
transformer.ln_f.weight,768,0,768,100.0
