layer,kept,masked,total,survival
transformer.wte.weight,31195233,7438239,38633472,80.74664632782681
transformer.wpe.weight,449711,336721,786432,57.18371073404948
transformer.h.0.ln_1.weight,768,0,768,100.0
transformer.h.0.attn.c_attn.weight,1176185,593287,1769472,66.47095856843171
transformer.h.0.attn.c_proj.weight,229025,360799,589824,38.829379611545136
transformer.h.0.ln_2.weight,768,0,768,100.0
transformer.h.0.mlp.c_fc.weight,1654137,705159,2359296,70.11146545410156
transformer.h.0.mlp.c_proj.weight,1297372,1061924,2359296,54.98979356553819
transformer.h.1.ln_1.weight,768,0,768,100.0
transformer.h.1.attn.c_attn.weight,1189450,580022,1769472,67.22061722366898
transformer.h.1.attn.c_proj.weight,260615,329209,589824,44.185214572482636
transformer.h.1.ln_2.weight,768,0,768,100.0
transformer.h.1.mlp.c_fc.weight,1752217,607079,2359296,74.26863776312933
transformer.h.1.mlp.c_proj.weight,1387194,972102,2359296,58.79694620768229
transformer.h.2.ln_1.weight,768,0,768,100.0
transformer.h.2.attn.c_attn.weight,1210313,559159,1769472,68.39966950593171
transformer.h.2.attn.c_proj.weight,281819,308005,589824,47.780185275607636
transformer.h.2.ln_2.weight,768,0,768,100.0
transformer.h.2.mlp.c_fc.weight,1782634,576662,2359296,75.55787828233507
transformer.h.2.mlp.c_proj.weight,1390017,969279,2359296,58.9166005452474
transformer.h.3.ln_1.weight,768,0,768,100.0
transformer.h.3.attn.c_attn.weight,1230706,538766,1769472,69.55216019241898
transformer.h.3.attn.c_proj.weight,316419,273405,589824,53.646341959635414
transformer.h.3.ln_2.weight,768,0,768,100.0
transformer.h.3.mlp.c_fc.weight,1807362,551934,2359296,76.60598754882812
transformer.h.3.mlp.c_proj.weight,1465319,893977,2359296,62.10831536187066
transformer.h.4.ln_1.weight,768,0,768,100.0
transformer.h.4.attn.c_attn.weight,1247141,522331,1769472,70.48096833405671
transformer.h.4.attn.c_proj.weight,324139,265685,589824,54.95520697699653
transformer.h.4.ln_2.weight,768,0,768,100.0
transformer.h.4.mlp.c_fc.weight,1817634,541662,2359296,77.04137166341145
transformer.h.4.mlp.c_proj.weight,1479128,880168,2359296,62.69361707899306
transformer.h.5.ln_1.weight,768,0,768,100.0
transformer.h.5.attn.c_attn.weight,1263989,505483,1769472,71.43311677155671
transformer.h.5.attn.c_proj.weight,347042,242782,589824,58.838229709201386
transformer.h.5.ln_2.weight,768,0,768,100.0
transformer.h.5.mlp.c_fc.weight,1823871,535425,2359296,77.30573018391927
transformer.h.5.mlp.c_proj.weight,1539578,819718,2359296,65.25582207573785
transformer.h.6.ln_1.weight,768,0,768,100.0
transformer.h.6.attn.c_attn.weight,1271262,498210,1769472,71.84414333767361
transformer.h.6.attn.c_proj.weight,349431,240393,589824,59.243265787760414
transformer.h.6.ln_2.weight,768,0,768,100.0
transformer.h.6.mlp.c_fc.weight,1824770,534526,2359296,77.34383477105035
transformer.h.6.mlp.c_proj.weight,1557684,801612,2359296,66.02325439453125
transformer.h.7.ln_1.weight,768,0,768,100.0
transformer.h.7.attn.c_attn.weight,1278679,490793,1769472,72.26330792462385
transformer.h.7.attn.c_proj.weight,357853,231971,589824,60.67114935980903
transformer.h.7.ln_2.weight,768,0,768,100.0
transformer.h.7.mlp.c_fc.weight,1822629,536667,2359296,77.25308736165364
transformer.h.7.mlp.c_proj.weight,1541643,817653,2359296,65.34334818522136
transformer.h.8.ln_1.weight,768,0,768,100.0
transformer.h.8.attn.c_attn.weight,1275083,494389,1769472,72.06008345992477
transformer.h.8.attn.c_proj.weight,370856,218968,589824,62.875705295138886
transformer.h.8.ln_2.weight,768,0,768,100.0
transformer.h.8.mlp.c_fc.weight,1817773,541523,2359296,77.04726325141058
transformer.h.8.mlp.c_proj.weight,1496424,862872,2359296,63.426717122395836
transformer.h.9.ln_1.weight,768,0,768,100.0
transformer.h.9.attn.c_attn.weight,1299663,469809,1769472,73.44919840494792
transformer.h.9.attn.c_proj.weight,398545,191279,589824,67.57015652126736
transformer.h.9.ln_2.weight,768,0,768,100.0
transformer.h.9.mlp.c_fc.weight,1820704,538592,2359296,77.17149522569444
transformer.h.9.mlp.c_proj.weight,1598437,760859,2359296,67.75059170193143
transformer.h.10.ln_1.weight,768,0,768,100.0
transformer.h.10.attn.c_attn.weight,1327365,442107,1769472,75.01475016276042
transformer.h.10.attn.c_proj.weight,409919,179905,589824,69.49852837456598
transformer.h.10.ln_2.weight,768,0,768,100.0
transformer.h.10.mlp.c_fc.weight,1817966,541330,2359296,77.0554436577691
transformer.h.10.mlp.c_proj.weight,1729039,630257,2359296,73.28622606065538
transformer.h.11.ln_1.weight,768,0,768,100.0
transformer.h.11.attn.c_attn.weight,1335037,434435,1769472,75.44832582826967
transformer.h.11.attn.c_proj.weight,447461,142363,589824,75.86347791883681
transformer.h.11.ln_2.weight,768,0,768,100.0
transformer.h.11.mlp.c_fc.weight,1833954,525342,2359296,77.7331034342448
transformer.h.11.mlp.c_proj.weight,1748844,610452,2359296,74.12567138671875
transformer.ln_f.weight,768,0,768,100.0
