layer,kept,masked,total,survival
transformer.wte.weight,27071604,11561868,38633472,70.07292536378817
transformer.wpe.weight,239950,546482,786432,30.511220296223957
transformer.h.0.ln_1.weight,768,0,768,100.0
transformer.h.0.attn.c_attn.weight,932770,836702,1769472,52.71459508825232
transformer.h.0.attn.c_proj.weight,116979,472845,589824,19.832865397135418
transformer.h.0.ln_2.weight,768,0,768,100.0
transformer.h.0.mlp.c_fc.weight,1329899,1029397,2359296,56.368467542860245
transformer.h.0.mlp.c_proj.weight,927791,1431505,2359296,39.32490878634982
transformer.h.1.ln_1.weight,768,0,768,100.0
transformer.h.1.attn.c_attn.weight,943565,825907,1769472,53.32466408058449
transformer.h.1.attn.c_proj.weight,139790,450034,589824,23.70029025607639
transformer.h.1.ln_2.weight,768,0,768,100.0
transformer.h.1.mlp.c_fc.weight,1446181,913115,2359296,61.29714118109809
transformer.h.1.mlp.c_proj.weight,945092,1414204,2359296,40.05822075737847
transformer.h.2.ln_1.weight,768,0,768,100.0
transformer.h.2.attn.c_attn.weight,950989,818483,1769472,53.744224265769674
transformer.h.2.attn.c_proj.weight,159396,430428,589824,27.024332682291668
transformer.h.2.ln_2.weight,768,0,768,100.0
transformer.h.2.mlp.c_fc.weight,1476690,882606,2359296,62.59028116861979
transformer.h.2.mlp.c_proj.weight,941804,1417492,2359296,39.918857150607636
transformer.h.3.ln_1.weight,768,0,768,100.0
transformer.h.3.attn.c_attn.weight,963107,806365,1769472,54.429061324508105
transformer.h.3.attn.c_proj.weight,199284,390540,589824,33.787027994791664
transformer.h.3.ln_2.weight,768,0,768,100.0
transformer.h.3.mlp.c_fc.weight,1502920,856376,2359296,63.702053493923614
transformer.h.3.mlp.c_proj.weight,978536,1380760,2359296,41.47576226128472
transformer.h.4.ln_1.weight,768,0,768,100.0
transformer.h.4.attn.c_attn.weight,992540,776932,1769472,56.0924388744213
transformer.h.4.attn.c_proj.weight,220219,369605,589824,37.336391872829864
transformer.h.4.ln_2.weight,768,0,768,100.0
transformer.h.4.mlp.c_fc.weight,1517461,841835,2359296,64.31838141547308
transformer.h.4.mlp.c_proj.weight,997051,1362245,2359296,42.26053025987413
transformer.h.5.ln_1.weight,768,0,768,100.0
transformer.h.5.attn.c_attn.weight,988655,780817,1769472,55.87288185402199
transformer.h.5.attn.c_proj.weight,237935,351889,589824,40.339999728732636
transformer.h.5.ln_2.weight,768,0,768,100.0
transformer.h.5.mlp.c_fc.weight,1520841,838455,2359296,64.46164449055989
transformer.h.5.mlp.c_proj.weight,1027868,1331428,2359296,43.56672498914931
transformer.h.6.ln_1.weight,768,0,768,100.0
transformer.h.6.attn.c_attn.weight,1034432,735040,1769472,58.45992476851852
transformer.h.6.attn.c_proj.weight,259832,329992,589824,44.052463107638886
transformer.h.6.ln_2.weight,768,0,768,100.0
transformer.h.6.mlp.c_fc.weight,1527381,831915,2359296,64.73884582519531
transformer.h.6.mlp.c_proj.weight,1097276,1262020,2359296,46.50861952039931
transformer.h.7.ln_1.weight,768,0,768,100.0
transformer.h.7.attn.c_attn.weight,1047087,722385,1769472,59.17510986328125
transformer.h.7.attn.c_proj.weight,262472,327352,589824,44.50005425347222
transformer.h.7.ln_2.weight,768,0,768,100.0
transformer.h.7.mlp.c_fc.weight,1525302,833994,2359296,64.65072631835938
transformer.h.7.mlp.c_proj.weight,1132408,1226888,2359296,47.997707790798614
transformer.h.8.ln_1.weight,768,0,768,100.0
transformer.h.8.attn.c_attn.weight,1049272,720200,1769472,59.298593026620374
transformer.h.8.attn.c_proj.weight,275928,313896,589824,46.781412760416664
transformer.h.8.ln_2.weight,768,0,768,100.0
transformer.h.8.mlp.c_fc.weight,1519620,839676,2359296,64.40989176432292
transformer.h.8.mlp.c_proj.weight,1127487,1231809,2359296,47.78912862141927
transformer.h.9.ln_1.weight,768,0,768,100.0
transformer.h.9.attn.c_attn.weight,1070239,699233,1769472,60.483522768373845
transformer.h.9.attn.c_proj.weight,302215,287609,589824,51.23816596137153
transformer.h.9.ln_2.weight,768,0,768,100.0
transformer.h.9.mlp.c_fc.weight,1519197,840099,2359296,64.39196268717448
transformer.h.9.mlp.c_proj.weight,1230026,1129270,2359296,52.13529798719618
transformer.h.10.ln_1.weight,768,0,768,100.0
transformer.h.10.attn.c_attn.weight,1092512,676960,1769472,61.74225983796296
transformer.h.10.attn.c_proj.weight,313926,275898,589824,53.223673502604164
transformer.h.10.ln_2.weight,768,0,768,100.0
transformer.h.10.mlp.c_fc.weight,1515472,843824,2359296,64.23407660590277
transformer.h.10.mlp.c_proj.weight,1353367,1005929,2359296,57.36317104763455
transformer.h.11.ln_1.weight,768,0,768,100.0
transformer.h.11.attn.c_attn.weight,1107637,661835,1769472,62.59703459563079
transformer.h.11.attn.c_proj.weight,369572,220252,589824,62.65801323784722
transformer.h.11.ln_2.weight,768,0,768,100.0
transformer.h.11.mlp.c_fc.weight,1533515,825781,2359296,64.99883863661024
transformer.h.11.mlp.c_proj.weight,1387169,972127,2359296,58.79588656955295
transformer.ln_f.weight,768,0,768,100.0
