layer,kept,masked,total,survival
transformer.wte.weight,36015969,2617503,38633472,93.22477927948076
transformer.wpe.weight,659440,126992,786432,83.85213216145833
transformer.h.0.ln_1.weight,768,0,768,100.0
transformer.h.0.attn.c_attn.weight,1551250,218222,1769472,87.66739456741898
transformer.h.0.attn.c_proj.weight,484437,105387,589824,82.13246663411458
transformer.h.0.ln_2.weight,768,0,768,100.0
transformer.h.0.mlp.c_fc.weight,2077487,281809,2359296,88.05537753634982
transformer.h.0.mlp.c_proj.weight,1826368,532928,2359296,77.41156684027777
transformer.h.1.ln_1.weight,768,0,768,100.0
transformer.h.1.attn.c_attn.weight,1556417,213055,1769472,87.95940257884838
transformer.h.1.attn.c_proj.weight,420112,169712,589824,71.22667100694444
transformer.h.1.ln_2.weight,768,0,768,100.0
transformer.h.1.mlp.c_fc.weight,2146596,212700,2359296,90.98459879557292
transformer.h.1.mlp.c_proj.weight,2018400,340896,2359296,85.55094401041667
transformer.h.2.ln_1.weight,768,0,768,100.0
transformer.h.2.attn.c_attn.weight,1558268,211204,1769472,88.06401005497685
transformer.h.2.attn.c_proj.weight,459100,130724,589824,77.83677842881944
transformer.h.2.ln_2.weight,768,0,768,100.0
transformer.h.2.mlp.c_fc.weight,2153716,205580,2359296,91.28638373480902
transformer.h.2.mlp.c_proj.weight,2040185,319111,2359296,86.47431267632379
transformer.h.3.ln_1.weight,768,0,768,100.0
transformer.h.3.attn.c_attn.weight,1562417,207055,1769472,88.29848678023727
transformer.h.3.attn.c_proj.weight,458243,131581,589824,77.69148084852431
transformer.h.3.ln_2.weight,768,0,768,100.0
transformer.h.3.mlp.c_fc.weight,2159040,200256,2359296,91.51204427083333
transformer.h.3.mlp.c_proj.weight,2035887,323409,2359296,86.29213968912761
transformer.h.4.ln_1.weight,768,0,768,100.0
transformer.h.4.attn.c_attn.weight,1568644,200828,1769472,88.65039966724537
transformer.h.4.attn.c_proj.weight,467600,122224,589824,79.27788628472223
transformer.h.4.ln_2.weight,768,0,768,100.0
transformer.h.4.mlp.c_fc.weight,2165116,194180,2359296,91.76957872178819
transformer.h.4.mlp.c_proj.weight,2032745,326551,2359296,86.15896436903212
transformer.h.5.ln_1.weight,768,0,768,100.0
transformer.h.5.attn.c_attn.weight,1572461,197011,1769472,88.86611373336227
transformer.h.5.attn.c_proj.weight,479989,109835,589824,81.37834337022569
transformer.h.5.ln_2.weight,768,0,768,100.0
transformer.h.5.mlp.c_fc.weight,2168995,190301,2359296,91.93399217393663
transformer.h.5.mlp.c_proj.weight,2030120,329176,2359296,86.04770236545139
transformer.h.6.ln_1.weight,768,0,768,100.0
transformer.h.6.attn.c_attn.weight,1577881,191591,1769472,89.17241979528356
transformer.h.6.attn.c_proj.weight,493365,96459,589824,83.64613850911458
transformer.h.6.ln_2.weight,768,0,768,100.0
transformer.h.6.mlp.c_fc.weight,2170374,188922,2359296,91.99244181315105
transformer.h.6.mlp.c_proj.weight,2039315,319981,2359296,86.43743726942274
transformer.h.7.ln_1.weight,768,0,768,100.0
transformer.h.7.attn.c_attn.weight,1581030,188442,1769472,89.35038248697917
transformer.h.7.attn.c_proj.weight,499411,90413,589824,84.67119004991319
transformer.h.7.ln_2.weight,768,0,768,100.0
transformer.h.7.mlp.c_fc.weight,2168089,191207,2359296,91.89559088812933
transformer.h.7.mlp.c_proj.weight,2047294,312002,2359296,86.77563137478299
transformer.h.8.ln_1.weight,768,0,768,100.0
transformer.h.8.attn.c_attn.weight,1591117,178355,1769472,89.92043954354746
transformer.h.8.attn.c_proj.weight,511101,78723,589824,86.65313720703125
transformer.h.8.ln_2.weight,768,0,768,100.0
transformer.h.8.mlp.c_fc.weight,2169049,190247,2359296,91.936280992296
transformer.h.8.mlp.c_proj.weight,2064754,294542,2359296,87.51568264431424
transformer.h.9.ln_1.weight,768,0,768,100.0
transformer.h.9.attn.c_attn.weight,1604410,165062,1769472,90.67168059172454
transformer.h.9.attn.c_proj.weight,520017,69807,589824,88.16477457682292
transformer.h.9.ln_2.weight,768,0,768,100.0
transformer.h.9.mlp.c_fc.weight,2168412,190884,2359296,91.90928141276042
transformer.h.9.mlp.c_proj.weight,2113518,245778,2359296,89.5825703938802
transformer.h.10.ln_1.weight,768,0,768,100.0
transformer.h.10.attn.c_attn.weight,1613456,156016,1769472,91.18290653935185
transformer.h.10.attn.c_proj.weight,529102,60722,589824,89.70506456163194
transformer.h.10.ln_2.weight,768,0,768,100.0
transformer.h.10.mlp.c_fc.weight,2167126,192170,2359296,91.85477362738715
transformer.h.10.mlp.c_proj.weight,2139246,220050,2359296,90.67306518554688
transformer.h.11.ln_1.weight,768,0,768,100.0
transformer.h.11.attn.c_attn.weight,1614692,154780,1769472,91.25275788483796
transformer.h.11.attn.c_proj.weight,543535,46289,589824,92.15206570095486
transformer.h.11.ln_2.weight,768,0,768,100.0
transformer.h.11.mlp.c_fc.weight,2174282,185014,2359296,92.15808444552951
transformer.h.11.mlp.c_proj.weight,2147606,211690,2359296,91.02740817599826
transformer.ln_f.weight,768,0,768,100.0
