layer,kept,masked,total,survival
transformer.wte.weight,31213136,7420336,38633472,80.79298697254029
transformer.wpe.weight,442958,343474,786432,56.32502237955729
transformer.h.0.ln_1.weight,768,0,768,100.0
transformer.h.0.attn.c_attn.weight,1192191,577281,1769472,67.37552218967014
transformer.h.0.attn.c_proj.weight,271709,318115,589824,46.06611463758681
transformer.h.0.ln_2.weight,768,0,768,100.0
transformer.h.0.mlp.c_fc.weight,1647359,711937,2359296,69.82417636447482
transformer.h.0.mlp.c_proj.weight,1224179,1135117,2359296,51.88746982150607
transformer.h.1.ln_1.weight,768,0,768,100.0
transformer.h.1.attn.c_attn.weight,1214547,554925,1769472,68.63894992404514
transformer.h.1.attn.c_proj.weight,229789,360035,589824,38.95890977647569
transformer.h.1.ln_2.weight,768,0,768,100.0
transformer.h.1.mlp.c_fc.weight,1768168,591128,2359296,74.94472927517361
transformer.h.1.mlp.c_proj.weight,1426574,932722,2359296,60.466088189019096
transformer.h.2.ln_1.weight,768,0,768,100.0
transformer.h.2.attn.c_attn.weight,1223535,545937,1769472,69.14689805772569
transformer.h.2.attn.c_proj.weight,256865,332959,589824,43.54943169487847
transformer.h.2.ln_2.weight,768,0,768,100.0
transformer.h.2.mlp.c_fc.weight,1780437,578859,2359296,75.46475728352864
transformer.h.2.mlp.c_proj.weight,1432545,926751,2359296,60.71917215983073
transformer.h.3.ln_1.weight,768,0,768,100.0
transformer.h.3.attn.c_attn.weight,1224845,544627,1769472,69.2209314416956
transformer.h.3.attn.c_proj.weight,273315,316509,589824,46.338399251302086
transformer.h.3.ln_2.weight,768,0,768,100.0
transformer.h.3.mlp.c_fc.weight,1793877,565419,2359296,76.03441874186198
transformer.h.3.mlp.c_proj.weight,1424142,935154,2359296,60.363006591796875
transformer.h.4.ln_1.weight,768,0,768,100.0
transformer.h.4.attn.c_attn.weight,1221569,547903,1769472,69.03579146773727
transformer.h.4.attn.c_proj.weight,297665,292159,589824,50.46674940321181
transformer.h.4.ln_2.weight,768,0,768,100.0
transformer.h.4.mlp.c_fc.weight,1810732,548564,2359296,76.74882676866319
transformer.h.4.mlp.c_proj.weight,1410851,948445,2359296,59.79966057671441
transformer.h.5.ln_1.weight,768,0,768,100.0
transformer.h.5.attn.c_attn.weight,1252368,517104,1769472,70.7763671875
transformer.h.5.attn.c_proj.weight,335587,254237,589824,56.89612494574653
transformer.h.5.ln_2.weight,768,0,768,100.0
transformer.h.5.mlp.c_fc.weight,1824057,535239,2359296,77.31361389160156
transformer.h.5.mlp.c_proj.weight,1471022,888274,2359296,62.35004001193576
transformer.h.6.ln_1.weight,768,0,768,100.0
transformer.h.6.attn.c_attn.weight,1267189,502283,1769472,71.61396167896412
transformer.h.6.attn.c_proj.weight,350443,239381,589824,59.41484239366319
transformer.h.6.ln_2.weight,768,0,768,100.0
transformer.h.6.mlp.c_fc.weight,1829178,530118,2359296,77.53067016601562
transformer.h.6.mlp.c_proj.weight,1512732,846564,2359296,64.11794026692708
transformer.h.7.ln_1.weight,768,0,768,100.0
transformer.h.7.attn.c_attn.weight,1285391,484081,1769472,72.64263011791088
transformer.h.7.attn.c_proj.weight,363794,226030,589824,61.67839898003472
transformer.h.7.ln_2.weight,768,0,768,100.0
transformer.h.7.mlp.c_fc.weight,1828487,530809,2359296,77.50138176812067
transformer.h.7.mlp.c_proj.weight,1569121,790175,2359296,66.50801764594183
transformer.h.8.ln_1.weight,768,0,768,100.0
transformer.h.8.attn.c_attn.weight,1308673,460799,1769472,73.9583898473669
transformer.h.8.attn.c_proj.weight,388038,201786,589824,65.78877766927083
transformer.h.8.ln_2.weight,768,0,768,100.0
transformer.h.8.mlp.c_fc.weight,1825548,533748,2359296,77.37681070963542
transformer.h.8.mlp.c_proj.weight,1617309,741987,2359296,68.55049133300781
transformer.h.9.ln_1.weight,768,0,768,100.0
transformer.h.9.attn.c_attn.weight,1317206,452266,1769472,74.44062409577546
transformer.h.9.attn.c_proj.weight,396086,193738,589824,67.15325249565973
transformer.h.9.ln_2.weight,768,0,768,100.0
transformer.h.9.mlp.c_fc.weight,1820891,538405,2359296,77.17942131890192
transformer.h.9.mlp.c_proj.weight,1677955,681341,2359296,71.12100389268663
transformer.h.10.ln_1.weight,768,0,768,100.0
transformer.h.10.attn.c_attn.weight,1320445,449027,1769472,74.6236730504919
transformer.h.10.attn.c_proj.weight,409351,180473,589824,69.40222846137152
transformer.h.10.ln_2.weight,768,0,768,100.0
transformer.h.10.mlp.c_fc.weight,1815420,543876,2359296,76.94753011067708
transformer.h.10.mlp.c_proj.weight,1708782,650514,2359296,72.42762247721355
transformer.h.11.ln_1.weight,768,0,768,100.0
transformer.h.11.attn.c_attn.weight,1342956,426516,1769472,75.89586046006944
transformer.h.11.attn.c_proj.weight,456166,133658,589824,77.33934190538194
transformer.h.11.ln_2.weight,768,0,768,100.0
transformer.h.11.mlp.c_fc.weight,1830151,529145,2359296,77.57191128200955
transformer.h.11.mlp.c_proj.weight,1743938,615358,2359296,73.91772800021701
transformer.ln_f.weight,768,0,768,100.0
