layer,kept,masked,total,survival
transformer.wte.weight,29092983,9540489,38633472,75.30512142424061
transformer.wpe.weight,335918,450514,786432,42.71418253580729
transformer.h.0.ln_1.weight,768,0,768,100.0
transformer.h.0.attn.c_attn.weight,1054515,714957,1769472,59.59489610460069
transformer.h.0.attn.c_proj.weight,193818,396006,589824,32.860310872395836
transformer.h.0.ln_2.weight,768,0,768,100.0
transformer.h.0.mlp.c_fc.weight,1479462,879834,2359296,62.70777384440104
transformer.h.0.mlp.c_proj.weight,1034799,1324497,2359296,43.8604990641276
transformer.h.1.ln_1.weight,768,0,768,100.0
transformer.h.1.attn.c_attn.weight,1077627,691845,1769472,60.90104844835069
transformer.h.1.attn.c_proj.weight,165742,424082,589824,28.10024685329861
transformer.h.1.ln_2.weight,768,0,768,100.0
transformer.h.1.mlp.c_fc.weight,1598724,760572,2359296,67.76275634765625
transformer.h.1.mlp.c_proj.weight,1150746,1208550,2359296,48.77497355143229
transformer.h.2.ln_1.weight,768,0,768,100.0
transformer.h.2.attn.c_attn.weight,1087189,682283,1769472,61.44143563729745
transformer.h.2.attn.c_proj.weight,199204,390620,589824,33.773464626736114
transformer.h.2.ln_2.weight,768,0,768,100.0
transformer.h.2.mlp.c_fc.weight,1620194,739102,2359296,68.67277357313368
transformer.h.2.mlp.c_proj.weight,1186060,1173236,2359296,50.27177598741319
transformer.h.3.ln_1.weight,768,0,768,100.0
transformer.h.3.attn.c_attn.weight,1089196,680276,1769472,61.55485930266204
transformer.h.3.attn.c_proj.weight,217194,372630,589824,36.823527018229164
transformer.h.3.ln_2.weight,768,0,768,100.0
transformer.h.3.mlp.c_fc.weight,1637518,721778,2359296,69.40706041124132
transformer.h.3.mlp.c_proj.weight,1190054,1169242,2359296,50.441063774956596
transformer.h.4.ln_1.weight,768,0,768,100.0
transformer.h.4.attn.c_attn.weight,1083509,685963,1769472,61.23346399377893
transformer.h.4.attn.c_proj.weight,237073,352751,589824,40.19385443793403
transformer.h.4.ln_2.weight,768,0,768,100.0
transformer.h.4.mlp.c_fc.weight,1656356,702940,2359296,70.20551893446181
transformer.h.4.mlp.c_proj.weight,1173659,1185637,2359296,49.746153089735245
transformer.h.5.ln_1.weight,768,0,768,100.0
transformer.h.5.attn.c_attn.weight,1124188,645284,1769472,63.53239836516204
transformer.h.5.attn.c_proj.weight,281639,308185,589824,47.749667697482636
transformer.h.5.ln_2.weight,768,0,768,100.0
transformer.h.5.mlp.c_fc.weight,1670251,689045,2359296,70.79446580674913
transformer.h.5.mlp.c_proj.weight,1234358,1124938,2359296,52.31891208224826
transformer.h.6.ln_1.weight,768,0,768,100.0
transformer.h.6.attn.c_attn.weight,1125214,644258,1769472,63.59038176359954
transformer.h.6.attn.c_proj.weight,296010,293814,589824,50.1861572265625
transformer.h.6.ln_2.weight,768,0,768,100.0
transformer.h.6.mlp.c_fc.weight,1675663,683633,2359296,71.02385626898871
transformer.h.6.mlp.c_proj.weight,1263225,1096071,2359296,53.5424550374349
transformer.h.7.ln_1.weight,768,0,768,100.0
transformer.h.7.attn.c_attn.weight,1151355,618117,1769472,65.06771511501736
transformer.h.7.attn.c_proj.weight,312807,277017,589824,53.033955891927086
transformer.h.7.ln_2.weight,768,0,768,100.0
transformer.h.7.mlp.c_fc.weight,1675571,683725,2359296,71.01995680067274
transformer.h.7.mlp.c_proj.weight,1324161,1035135,2359296,56.12525939941406
transformer.h.8.ln_1.weight,768,0,768,100.0
transformer.h.8.attn.c_attn.weight,1186934,582538,1769472,67.0784279152199
transformer.h.8.attn.c_proj.weight,336090,253734,589824,56.981404622395836
transformer.h.8.ln_2.weight,768,0,768,100.0
transformer.h.8.mlp.c_fc.weight,1673682,685614,2359296,70.9398905436198
transformer.h.8.mlp.c_proj.weight,1388923,970373,2359296,58.870230780707466
transformer.h.9.ln_1.weight,768,0,768,100.0
transformer.h.9.attn.c_attn.weight,1195970,573502,1769472,67.58908872251158
transformer.h.9.attn.c_proj.weight,344766,245058,589824,58.452351888020836
transformer.h.9.ln_2.weight,768,0,768,100.0
transformer.h.9.mlp.c_fc.weight,1665287,694009,2359296,70.58406405978732
transformer.h.9.mlp.c_proj.weight,1473472,885824,2359296,62.453884548611114
transformer.h.10.ln_1.weight,768,0,768,100.0
transformer.h.10.attn.c_attn.weight,1202248,567224,1769472,67.94388382523148
transformer.h.10.attn.c_proj.weight,363400,226424,589824,61.611599392361114
transformer.h.10.ln_2.weight,768,0,768,100.0
transformer.h.10.mlp.c_fc.weight,1658853,700443,2359296,70.31135559082031
transformer.h.10.mlp.c_proj.weight,1521980,837316,2359296,64.50992160373264
transformer.h.11.ln_1.weight,768,0,768,100.0
transformer.h.11.attn.c_attn.weight,1223796,545676,1769472,69.16164822048611
transformer.h.11.attn.c_proj.weight,414662,175162,589824,70.30266655815973
transformer.h.11.ln_2.weight,768,0,768,100.0
transformer.h.11.mlp.c_fc.weight,1675496,683800,2359296,71.01677788628473
transformer.h.11.mlp.c_proj.weight,1560884,798412,2359296,66.15888807508681
transformer.ln_f.weight,768,0,768,100.0
