layer,kept,masked,total,survival
transformer.wte.weight,33251933,5381539,38633472,86.07026828963237
transformer.wpe.weight,536357,250075,786432,68.20131937662761
transformer.h.0.ln_1.weight,768,0,768,100.0
transformer.h.0.attn.c_attn.weight,1324114,445358,1769472,74.83102303964121
transformer.h.0.attn.c_proj.weight,376152,213672,589824,63.773600260416664
transformer.h.0.ln_2.weight,768,0,768,100.0
transformer.h.0.mlp.c_fc.weight,1830751,528545,2359296,77.59734259711371
transformer.h.0.mlp.c_proj.weight,1511137,848159,2359296,64.05033535427518
transformer.h.1.ln_1.weight,768,0,768,100.0
transformer.h.1.attn.c_attn.weight,1303356,466116,1769472,73.65790473090277
transformer.h.1.attn.c_proj.weight,315815,274009,589824,53.54393853081597
transformer.h.1.ln_2.weight,768,0,768,100.0
transformer.h.1.mlp.c_fc.weight,1935120,424176,2359296,82.02107747395833
transformer.h.1.mlp.c_proj.weight,1705686,653610,2359296,72.29639689127605
transformer.h.2.ln_1.weight,768,0,768,100.0
transformer.h.2.attn.c_attn.weight,1349289,420183,1769472,76.25376383463542
transformer.h.2.attn.c_proj.weight,300604,289220,589824,50.96503363715278
transformer.h.2.ln_2.weight,768,0,768,100.0
transformer.h.2.mlp.c_fc.weight,1949258,410038,2359296,82.62032402886285
transformer.h.2.mlp.c_proj.weight,1721359,637937,2359296,72.96070522732205
transformer.h.3.ln_1.weight,768,0,768,100.0
transformer.h.3.attn.c_attn.weight,1367762,401710,1769472,77.29774757667825
transformer.h.3.attn.c_proj.weight,344024,245800,589824,58.32655164930556
transformer.h.3.ln_2.weight,768,0,768,100.0
transformer.h.3.mlp.c_fc.weight,1957558,401738,2359296,82.97212388780382
transformer.h.3.mlp.c_proj.weight,1725725,633571,2359296,73.14576043023004
transformer.h.4.ln_1.weight,768,0,768,100.0
transformer.h.4.attn.c_attn.weight,1366360,403112,1769472,77.21851490162037
transformer.h.4.attn.c_proj.weight,372501,217323,589824,63.15460205078125
transformer.h.4.ln_2.weight,768,0,768,100.0
transformer.h.4.mlp.c_fc.weight,1960733,398563,2359296,83.10669793023004
transformer.h.4.mlp.c_proj.weight,1722083,637213,2359296,72.99139234754774
transformer.h.5.ln_1.weight,768,0,768,100.0
transformer.h.5.attn.c_attn.weight,1376598,392874,1769472,77.79710557725694
transformer.h.5.attn.c_proj.weight,385685,204139,589824,65.38984510633681
transformer.h.5.ln_2.weight,768,0,768,100.0
transformer.h.5.mlp.c_fc.weight,1968641,390655,2359296,83.44188266330295
transformer.h.5.mlp.c_proj.weight,1713189,646107,2359296,72.61441548665364
transformer.h.6.ln_1.weight,768,0,768,100.0
transformer.h.6.attn.c_attn.weight,1378630,390842,1769472,77.91194209346065
transformer.h.6.attn.c_proj.weight,388025,201799,589824,65.78657362196181
transformer.h.6.ln_2.weight,768,0,768,100.0
transformer.h.6.mlp.c_fc.weight,1975040,384256,2359296,83.71310763888889
transformer.h.6.mlp.c_proj.weight,1698442,660854,2359296,71.9893561469184
transformer.h.7.ln_1.weight,768,0,768,100.0
transformer.h.7.attn.c_attn.weight,1388788,380684,1769472,78.48601164641204
transformer.h.7.attn.c_proj.weight,407684,182140,589824,69.11960177951389
transformer.h.7.ln_2.weight,768,0,768,100.0
transformer.h.7.mlp.c_fc.weight,1972856,386440,2359296,83.62053765190973
transformer.h.7.mlp.c_proj.weight,1686703,672593,2359296,71.49179246690538
transformer.h.8.ln_1.weight,768,0,768,100.0
transformer.h.8.attn.c_attn.weight,1412497,356975,1769472,79.82590286820023
transformer.h.8.attn.c_proj.weight,435576,154248,589824,73.84847005208333
transformer.h.8.ln_2.weight,768,0,768,100.0
transformer.h.8.mlp.c_fc.weight,1976682,382614,2359296,83.78270467122395
transformer.h.8.mlp.c_proj.weight,1763553,595743,2359296,74.74912007649739
transformer.h.9.ln_1.weight,768,0,768,100.0
transformer.h.9.attn.c_attn.weight,1434555,334917,1769472,81.07248942057292
transformer.h.9.attn.c_proj.weight,445768,144056,589824,75.57644314236111
transformer.h.9.ln_2.weight,768,0,768,100.0
transformer.h.9.mlp.c_fc.weight,1969144,390152,2359296,83.46320258246527
transformer.h.9.mlp.c_proj.weight,1841735,517561,2359296,78.06290520562067
transformer.h.10.ln_1.weight,768,0,768,100.0
transformer.h.10.attn.c_attn.weight,1446192,323280,1769472,81.73014322916667
transformer.h.10.attn.c_proj.weight,462071,127753,589824,78.34048800998264
transformer.h.10.ln_2.weight,768,0,768,100.0
transformer.h.10.mlp.c_fc.weight,1965116,394180,2359296,83.29247368706598
transformer.h.10.mlp.c_proj.weight,1901250,458046,2359296,80.58547973632812
transformer.h.11.ln_1.weight,768,0,768,100.0
transformer.h.11.attn.c_attn.weight,1457026,312446,1769472,82.34241626880787
transformer.h.11.attn.c_proj.weight,499610,90214,589824,84.70492892795139
transformer.h.11.ln_2.weight,768,0,768,100.0
transformer.h.11.mlp.c_fc.weight,1980034,379262,2359296,83.9247809516059
transformer.h.11.mlp.c_proj.weight,1921037,438259,2359296,81.42416212293837
transformer.ln_f.weight,768,0,768,100.0
