layer,kept,masked,total,survival
transformer.wte.weight,28677235,9956237,38633472,74.22898723676713
transformer.wpe.weight,334695,451737,786432,42.55867004394531
transformer.h.0.ln_1.weight,768,0,768,100.0
transformer.h.0.attn.c_attn.weight,996757,772715,1769472,56.330758553964124
transformer.h.0.attn.c_proj.weight,167865,421959,589824,28.460184733072918
transformer.h.0.ln_2.weight,768,0,768,100.0
transformer.h.0.mlp.c_fc.weight,1439616,919680,2359296,61.018880208333336
transformer.h.0.mlp.c_proj.weight,1034807,1324489,2359296,43.860838148328995
transformer.h.1.ln_1.weight,768,0,768,100.0
transformer.h.1.attn.c_attn.weight,1013739,755733,1769472,57.29047987196181
transformer.h.1.attn.c_proj.weight,185080,404744,589824,31.37885199652778
transformer.h.1.ln_2.weight,768,0,768,100.0
transformer.h.1.mlp.c_fc.weight,1587524,771772,2359296,67.28803846571181
transformer.h.1.mlp.c_proj.weight,1198948,1160348,2359296,50.81804063585069
transformer.h.2.ln_1.weight,768,0,768,100.0
transformer.h.2.attn.c_attn.weight,1056040,713432,1769472,59.68108000578704
transformer.h.2.attn.c_proj.weight,168635,421189,589824,28.59073215060764
transformer.h.2.ln_2.weight,768,0,768,100.0
transformer.h.2.mlp.c_fc.weight,1607261,752035,2359296,68.12460157606337
transformer.h.2.mlp.c_proj.weight,1205794,1153502,2359296,51.10821194118924
transformer.h.3.ln_1.weight,768,0,768,100.0
transformer.h.3.attn.c_attn.weight,1074892,694580,1769472,60.746482566550924
transformer.h.3.attn.c_proj.weight,216768,373056,589824,36.751302083333336
transformer.h.3.ln_2.weight,768,0,768,100.0
transformer.h.3.mlp.c_fc.weight,1619823,739473,2359296,68.65704854329427
transformer.h.3.mlp.c_proj.weight,1229947,1129349,2359296,52.131949530707466
transformer.h.4.ln_1.weight,768,0,768,100.0
transformer.h.4.attn.c_attn.weight,1071766,697706,1769472,60.56981969762732
transformer.h.4.attn.c_proj.weight,235606,354218,589824,39.94513617621528
transformer.h.4.ln_2.weight,768,0,768,100.0
transformer.h.4.mlp.c_fc.weight,1623790,735506,2359296,68.82519192165799
transformer.h.4.mlp.c_proj.weight,1229258,1130038,2359296,52.102745903862846
transformer.h.5.ln_1.weight,768,0,768,100.0
transformer.h.5.attn.c_attn.weight,1074406,695066,1769472,60.719016746238424
transformer.h.5.attn.c_proj.weight,240233,349591,589824,40.72960747612847
transformer.h.5.ln_2.weight,768,0,768,100.0
transformer.h.5.mlp.c_fc.weight,1622852,736444,2359296,68.78543429904514
transformer.h.5.mlp.c_proj.weight,1179754,1179542,2359296,50.004492865668404
transformer.h.6.ln_1.weight,768,0,768,100.0
transformer.h.6.attn.c_attn.weight,1047193,722279,1769472,59.181100350839124
transformer.h.6.attn.c_proj.weight,242407,347417,589824,41.09819200303819
transformer.h.6.ln_2.weight,768,0,768,100.0
transformer.h.6.mlp.c_fc.weight,1628704,730592,2359296,69.03347439236111
transformer.h.6.mlp.c_proj.weight,1035869,1323427,2359296,43.90585157606337
transformer.h.7.ln_1.weight,768,0,768,100.0
transformer.h.7.attn.c_attn.weight,1099421,670051,1769472,62.13271529586227
transformer.h.7.attn.c_proj.weight,288312,301512,589824,48.881022135416664
transformer.h.7.ln_2.weight,768,0,768,100.0
transformer.h.7.mlp.c_fc.weight,1639585,719711,2359296,69.49467129177518
transformer.h.7.mlp.c_proj.weight,1139168,1220128,2359296,48.28423394097222
transformer.h.8.ln_1.weight,768,0,768,100.0
transformer.h.8.attn.c_attn.weight,1132067,637405,1769472,63.97767243561921
transformer.h.8.attn.c_proj.weight,321267,268557,589824,54.468282063802086
transformer.h.8.ln_2.weight,768,0,768,100.0
transformer.h.8.mlp.c_fc.weight,1646273,713023,2359296,69.77814568413629
transformer.h.8.mlp.c_proj.weight,1246284,1113012,2359296,52.82440185546875
transformer.h.9.ln_1.weight,768,0,768,100.0
transformer.h.9.attn.c_attn.weight,1171767,597705,1769472,66.22127956814236
transformer.h.9.attn.c_proj.weight,333002,256822,589824,56.457858615451386
transformer.h.9.ln_2.weight,768,0,768,100.0
transformer.h.9.mlp.c_fc.weight,1635582,723714,2359296,69.3250020345052
transformer.h.9.mlp.c_proj.weight,1408941,950355,2359296,59.71870422363281
transformer.h.10.ln_1.weight,768,0,768,100.0
transformer.h.10.attn.c_attn.weight,1181531,587941,1769472,66.77308259186921
transformer.h.10.attn.c_proj.weight,352737,237087,589824,59.80377197265625
transformer.h.10.ln_2.weight,768,0,768,100.0
transformer.h.10.mlp.c_fc.weight,1628838,730458,2359296,69.03915405273438
transformer.h.10.mlp.c_proj.weight,1492287,867009,2359296,63.2513682047526
transformer.h.11.ln_1.weight,768,0,768,100.0
transformer.h.11.attn.c_attn.weight,1201051,568421,1769472,67.8762365270544
transformer.h.11.attn.c_proj.weight,416476,173348,589824,70.61021592881944
transformer.h.11.ln_2.weight,768,0,768,100.0
transformer.h.11.mlp.c_fc.weight,1652254,707042,2359296,70.03165351019965
transformer.h.11.mlp.c_proj.weight,1545897,813399,2359296,65.52365620930989
transformer.ln_f.weight,768,0,768,100.0
