layer,kept,masked,total,survival
transformer.wte.weight,24702371,13931101,38633472,63.940333915626326
transformer.wpe.weight,177802,608630,786432,22.608693440755207
transformer.h.0.ln_1.weight,768,0,768,100.0
transformer.h.0.attn.c_attn.weight,786915,982557,1769472,44.47174072265625
transformer.h.0.attn.c_proj.weight,79508,510316,589824,13.47995334201389
transformer.h.0.ln_2.weight,768,0,768,100.0
transformer.h.0.mlp.c_fc.weight,1141638,1217658,2359296,48.38892618815104
transformer.h.0.mlp.c_proj.weight,716537,1642759,2359296,30.370797051323784
transformer.h.1.ln_1.weight,768,0,768,100.0
transformer.h.1.attn.c_attn.weight,803953,965519,1769472,45.43462682653357
transformer.h.1.attn.c_proj.weight,95811,494013,589824,16.243998209635418
transformer.h.1.ln_2.weight,768,0,768,100.0
transformer.h.1.mlp.c_fc.weight,1294506,1064790,2359296,54.868316650390625
transformer.h.1.mlp.c_proj.weight,779935,1579361,2359296,33.05795457628038
transformer.h.2.ln_1.weight,768,0,768,100.0
transformer.h.2.attn.c_attn.weight,829802,939670,1769472,46.89545808015046
transformer.h.2.attn.c_proj.weight,94897,494927,589824,16.089036729600693
transformer.h.2.ln_2.weight,768,0,768,100.0
transformer.h.2.mlp.c_fc.weight,1316325,1042971,2359296,55.79312642415365
transformer.h.2.mlp.c_proj.weight,792557,1566739,2359296,33.5929446750217
transformer.h.3.ln_1.weight,768,0,768,100.0
transformer.h.3.attn.c_attn.weight,844304,925168,1769472,47.715024594907405
transformer.h.3.attn.c_proj.weight,135165,454659,589824,22.916158040364582
transformer.h.3.ln_2.weight,768,0,768,100.0
transformer.h.3.mlp.c_fc.weight,1328161,1031135,2359296,56.294801500108505
transformer.h.3.mlp.c_proj.weight,819008,1540288,2359296,34.714084201388886
transformer.h.4.ln_1.weight,768,0,768,100.0
transformer.h.4.attn.c_attn.weight,828567,940905,1769472,46.825663248697914
transformer.h.4.attn.c_proj.weight,142955,446869,589824,24.236891004774307
transformer.h.4.ln_2.weight,768,0,768,100.0
transformer.h.4.mlp.c_fc.weight,1328357,1030939,2359296,56.303109063042534
transformer.h.4.mlp.c_proj.weight,792183,1567113,2359296,33.57709248860677
transformer.h.5.ln_1.weight,768,0,768,100.0
transformer.h.5.attn.c_attn.weight,818277,951195,1769472,46.24413384331597
transformer.h.5.attn.c_proj.weight,147628,442196,589824,25.029161241319443
transformer.h.5.ln_2.weight,768,0,768,100.0
transformer.h.5.mlp.c_fc.weight,1327516,1031780,2359296,56.26746283637153
transformer.h.5.mlp.c_proj.weight,688333,1670963,2359296,29.175355699327255
transformer.h.6.ln_1.weight,768,0,768,100.0
transformer.h.6.attn.c_attn.weight,828046,941426,1769472,46.796219437210645
transformer.h.6.attn.c_proj.weight,170917,418907,589824,28.97762722439236
transformer.h.6.ln_2.weight,768,0,768,100.0
transformer.h.6.mlp.c_fc.weight,1344673,1014623,2359296,56.99467129177518
transformer.h.6.mlp.c_proj.weight,655505,1703791,2359296,27.783923678927952
transformer.h.7.ln_1.weight,768,0,768,100.0
transformer.h.7.attn.c_attn.weight,886159,883313,1769472,50.08041946976273
transformer.h.7.attn.c_proj.weight,208864,380960,589824,35.41124131944444
transformer.h.7.ln_2.weight,768,0,768,100.0
transformer.h.7.mlp.c_fc.weight,1355193,1004103,2359296,57.44056701660156
transformer.h.7.mlp.c_proj.weight,773918,1585378,2359296,32.80292087131076
transformer.h.8.ln_1.weight,768,0,768,100.0
transformer.h.8.attn.c_attn.weight,924638,844834,1769472,52.25502296730324
transformer.h.8.attn.c_proj.weight,234174,355650,589824,39.702351888020836
transformer.h.8.ln_2.weight,768,0,768,100.0
transformer.h.8.mlp.c_fc.weight,1361778,997518,2359296,57.71967569986979
transformer.h.8.mlp.c_proj.weight,890591,1468705,2359296,37.748167249891495
transformer.h.9.ln_1.weight,768,0,768,100.0
transformer.h.9.attn.c_attn.weight,965243,804229,1769472,54.54977530020255
transformer.h.9.attn.c_proj.weight,252364,337460,589824,42.78632269965278
transformer.h.9.ln_2.weight,768,0,768,100.0
transformer.h.9.mlp.c_fc.weight,1349327,1009969,2359296,57.19193352593316
transformer.h.9.mlp.c_proj.weight,1071142,1288154,2359296,45.400916205512154
transformer.h.10.ln_1.weight,768,0,768,100.0
transformer.h.10.attn.c_attn.weight,964990,804482,1769472,54.535477249710645
transformer.h.10.attn.c_proj.weight,262190,327634,589824,44.452243381076386
transformer.h.10.ln_2.weight,768,0,768,100.0
transformer.h.10.mlp.c_fc.weight,1338748,1020548,2359296,56.74353705512153
transformer.h.10.mlp.c_proj.weight,1134680,1224616,2359296,48.09400770399306
transformer.h.11.ln_1.weight,768,0,768,100.0
transformer.h.11.attn.c_attn.weight,982376,787096,1769472,55.51803023726852
transformer.h.11.attn.c_proj.weight,335752,254072,589824,56.924099392361114
transformer.h.11.ln_2.weight,768,0,768,100.0
transformer.h.11.mlp.c_fc.weight,1362609,996687,2359296,57.75489807128906
transformer.h.11.mlp.c_proj.weight,1193276,1166020,2359296,50.57762993706597
transformer.ln_f.weight,768,0,768,100.0
