layer,kept,masked,total,survival
transformer.wte.weight,21351627,17281845,38633472,55.26717091334685
transformer.wpe.weight,82203,704229,786432,10.452651977539062
transformer.h.0.ln_1.weight,768,0,768,100.0
transformer.h.0.attn.c_attn.weight,643572,1125900,1769472,36.370849609375
transformer.h.0.attn.c_proj.weight,39308,550516,589824,6.664360894097222
transformer.h.0.ln_2.weight,768,0,768,100.0
transformer.h.0.mlp.c_fc.weight,921109,1438187,2359296,39.041688707139755
transformer.h.0.mlp.c_proj.weight,495069,1864227,2359296,20.98375956217448
transformer.h.1.ln_1.weight,768,0,768,100.0
transformer.h.1.attn.c_attn.weight,652598,1116874,1769472,36.88094527633102
transformer.h.1.attn.c_proj.weight,47912,541912,589824,8.123101128472221
transformer.h.1.ln_2.weight,768,0,768,100.0
transformer.h.1.mlp.c_fc.weight,1049271,1310025,2359296,44.4739023844401
transformer.h.1.mlp.c_proj.weight,465573,1893723,2359296,19.733556111653645
transformer.h.2.ln_1.weight,768,0,768,100.0
transformer.h.2.attn.c_attn.weight,660817,1108655,1769472,37.34543411820023
transformer.h.2.attn.c_proj.weight,50568,539256,589824,8.573404947916666
transformer.h.2.ln_2.weight,768,0,768,100.0
transformer.h.2.mlp.c_fc.weight,1066276,1293020,2359296,45.194668240017364
transformer.h.2.mlp.c_proj.weight,478770,1880526,2359296,20.292917887369793
transformer.h.3.ln_1.weight,768,0,768,100.0
transformer.h.3.attn.c_attn.weight,662519,1106953,1769472,37.44162100332755
transformer.h.3.attn.c_proj.weight,75337,514487,589824,12.77279324001736
transformer.h.3.ln_2.weight,768,0,768,100.0
transformer.h.3.mlp.c_fc.weight,1075031,1284265,2359296,45.56575351291232
transformer.h.3.mlp.c_proj.weight,494135,1865161,2359296,20.944171481662327
transformer.h.4.ln_1.weight,768,0,768,100.0
transformer.h.4.attn.c_attn.weight,642246,1127226,1769472,36.29591200086806
transformer.h.4.attn.c_proj.weight,80861,508963,589824,13.709343804253471
transformer.h.4.ln_2.weight,768,0,768,100.0
transformer.h.4.mlp.c_fc.weight,1072095,1287201,2359296,45.4413096110026
transformer.h.4.mlp.c_proj.weight,454287,1905009,2359296,19.25519307454427
transformer.h.5.ln_1.weight,768,0,768,100.0
transformer.h.5.attn.c_attn.weight,628445,1141027,1769472,35.51596182364005
transformer.h.5.attn.c_proj.weight,89130,500694,589824,15.111287434895834
transformer.h.5.ln_2.weight,768,0,768,100.0
transformer.h.5.mlp.c_fc.weight,1068165,1291131,2359296,45.27473449707031
transformer.h.5.mlp.c_proj.weight,344678,2014618,2359296,14.60935804578993
transformer.h.6.ln_1.weight,768,0,768,100.0
transformer.h.6.attn.c_attn.weight,666459,1103013,1769472,37.664286295572914
transformer.h.6.attn.c_proj.weight,118181,471643,589824,20.03665500217014
transformer.h.6.ln_2.weight,768,0,768,100.0
transformer.h.6.mlp.c_fc.weight,1091735,1267561,2359296,46.27376132541232
transformer.h.6.mlp.c_proj.weight,374998,1984298,2359296,15.89448716905382
transformer.h.7.ln_1.weight,768,0,768,100.0
transformer.h.7.attn.c_attn.weight,722631,1046841,1769472,40.83879258897569
transformer.h.7.attn.c_proj.weight,147096,442728,589824,24.93896484375
transformer.h.7.ln_2.weight,768,0,768,100.0
transformer.h.7.mlp.c_fc.weight,1105489,1253807,2359296,46.85673183865018
transformer.h.7.mlp.c_proj.weight,502565,1856731,2359296,21.30148145887587
transformer.h.8.ln_1.weight,768,0,768,100.0
transformer.h.8.attn.c_attn.weight,760940,1008532,1769472,43.00378870081018
transformer.h.8.attn.c_proj.weight,168801,421023,589824,28.618876139322918
transformer.h.8.ln_2.weight,768,0,768,100.0
transformer.h.8.mlp.c_fc.weight,1113084,1246212,2359296,47.17864990234375
transformer.h.8.mlp.c_proj.weight,631877,1727419,2359296,26.78243849012587
transformer.h.9.ln_1.weight,768,0,768,100.0
transformer.h.9.attn.c_attn.weight,785316,984156,1769472,44.381374782986114
transformer.h.9.attn.c_proj.weight,181586,408238,589824,30.78647189670139
transformer.h.9.ln_2.weight,768,0,768,100.0
transformer.h.9.mlp.c_fc.weight,1093428,1265868,2359296,46.34552001953125
transformer.h.9.mlp.c_proj.weight,757787,1601509,2359296,32.119199964735245
transformer.h.10.ln_1.weight,768,0,768,100.0
transformer.h.10.attn.c_attn.weight,792895,976577,1769472,44.809694643373845
transformer.h.10.attn.c_proj.weight,205299,384525,589824,34.80682373046875
transformer.h.10.ln_2.weight,768,0,768,100.0
transformer.h.10.mlp.c_fc.weight,1094366,1264930,2359296,46.385277642144096
transformer.h.10.mlp.c_proj.weight,867108,1492188,2359296,36.752827962239586
transformer.h.11.ln_1.weight,768,0,768,100.0
transformer.h.11.attn.c_attn.weight,790078,979394,1769472,44.65049461082176
transformer.h.11.attn.c_proj.weight,254525,335299,589824,43.15270317925347
transformer.h.11.ln_2.weight,768,0,768,100.0
transformer.h.11.mlp.c_fc.weight,1115016,1244280,2359296,47.260538736979164
transformer.h.11.mlp.c_proj.weight,891430,1467866,2359296,37.783728705512154
transformer.ln_f.weight,768,0,768,100.0
