layer,kept,masked,total,survival
transformer.wte.weight,18513981,20119491,38633472,47.922125663466126
transformer.wpe.weight,34620,751812,786432,4.40216064453125
transformer.h.0.ln_1.weight,768,0,768,100.0
transformer.h.0.attn.c_attn.weight,526787,1242685,1769472,29.7708581995081
transformer.h.0.attn.c_proj.weight,18603,571221,589824,3.15399169921875
transformer.h.0.ln_2.weight,768,0,768,100.0
transformer.h.0.mlp.c_fc.weight,749959,1609337,2359296,31.787406073676216
transformer.h.0.mlp.c_proj.weight,322834,2036462,2359296,13.68348863389757
transformer.h.1.ln_1.weight,768,0,768,100.0
transformer.h.1.attn.c_attn.weight,537253,1232219,1769472,30.362334074797452
transformer.h.1.attn.c_proj.weight,22771,567053,589824,3.8606431749131946
transformer.h.1.ln_2.weight,768,0,768,100.0
transformer.h.1.mlp.c_fc.weight,831453,1527843,2359296,35.24157206217448
transformer.h.1.mlp.c_proj.weight,228490,2130806,2359296,9.684668646918404
transformer.h.2.ln_1.weight,768,0,768,100.0
transformer.h.2.attn.c_attn.weight,551933,1217539,1769472,31.191960087528937
transformer.h.2.attn.c_proj.weight,36054,553770,589824,6.1126708984375
transformer.h.2.ln_2.weight,768,0,768,100.0
transformer.h.2.mlp.c_fc.weight,852882,1506414,2359296,36.14985148111979
transformer.h.2.mlp.c_proj.weight,253003,2106293,2359296,10.723665025499132
transformer.h.3.ln_1.weight,768,0,768,100.0
transformer.h.3.attn.c_attn.weight,531824,1237648,1769472,30.055519386574073
transformer.h.3.attn.c_proj.weight,38646,551178,589824,6.5521240234375
transformer.h.3.ln_2.weight,768,0,768,100.0
transformer.h.3.mlp.c_fc.weight,857047,1502249,2359296,36.32638719346788
transformer.h.3.mlp.c_proj.weight,268681,2090615,2359296,11.388185289171007
transformer.h.4.ln_1.weight,768,0,768,100.0
transformer.h.4.attn.c_attn.weight,499466,1270006,1769472,28.226838288483798
transformer.h.4.attn.c_proj.weight,38429,551395,589824,6.515333387586805
transformer.h.4.ln_2.weight,768,0,768,100.0
transformer.h.4.mlp.c_fc.weight,852585,1506711,2359296,36.13726298014323
transformer.h.4.mlp.c_proj.weight,229852,2129444,2359296,9.74239773220486
transformer.h.5.ln_1.weight,768,0,768,100.0
transformer.h.5.attn.c_attn.weight,493956,1275516,1769472,27.915445963541668
transformer.h.5.attn.c_proj.weight,57166,532658,589824,9.69204372829861
transformer.h.5.ln_2.weight,768,0,768,100.0
transformer.h.5.mlp.c_fc.weight,854658,1504638,2359296,36.225128173828125
transformer.h.5.mlp.c_proj.weight,174172,2185124,2359296,7.382371690538195
transformer.h.6.ln_1.weight,768,0,768,100.0
transformer.h.6.attn.c_attn.weight,548707,1220765,1769472,31.00964581524884
transformer.h.6.attn.c_proj.weight,84402,505422,589824,14.3096923828125
transformer.h.6.ln_2.weight,768,0,768,100.0
transformer.h.6.mlp.c_fc.weight,879614,1479682,2359296,37.28290134006076
transformer.h.6.mlp.c_proj.weight,255561,2103735,2359296,10.832087198893229
transformer.h.7.ln_1.weight,768,0,768,100.0
transformer.h.7.attn.c_attn.weight,558800,1210672,1769472,31.58004195601852
transformer.h.7.attn.c_proj.weight,89143,500681,589824,15.11349148220486
transformer.h.7.ln_2.weight,768,0,768,100.0
transformer.h.7.mlp.c_fc.weight,882381,1476915,2359296,37.40018208821615
transformer.h.7.mlp.c_proj.weight,278634,2080662,2359296,11.810048421223959
transformer.h.8.ln_1.weight,768,0,768,100.0
transformer.h.8.attn.c_attn.weight,593778,1175694,1769472,33.556789822048614
transformer.h.8.attn.c_proj.weight,103914,485910,589824,17.6177978515625
transformer.h.8.ln_2.weight,768,0,768,100.0
transformer.h.8.mlp.c_fc.weight,878245,1481051,2359296,37.22487555609809
transformer.h.8.mlp.c_proj.weight,359094,2000202,2359296,15.220387776692709
transformer.h.9.ln_1.weight,768,0,768,100.0
transformer.h.9.attn.c_attn.weight,642707,1126765,1769472,36.32196497034143
transformer.h.9.attn.c_proj.weight,128318,461506,589824,21.75530327690972
transformer.h.9.ln_2.weight,768,0,768,100.0
transformer.h.9.mlp.c_fc.weight,861676,1497620,2359296,36.52258978949653
transformer.h.9.mlp.c_proj.weight,491602,1867694,2359296,20.836808946397568
transformer.h.10.ln_1.weight,768,0,768,100.0
transformer.h.10.attn.c_attn.weight,651456,1118016,1769472,36.81640625
transformer.h.10.attn.c_proj.weight,164014,425810,589824,27.80727810329861
transformer.h.10.ln_2.weight,768,0,768,100.0
transformer.h.10.mlp.c_fc.weight,881403,1477893,2359296,37.35872904459635
transformer.h.10.mlp.c_proj.weight,666088,1693208,2359296,28.23248969184028
transformer.h.11.ln_1.weight,768,0,768,100.0
transformer.h.11.attn.c_attn.weight,628131,1141341,1769472,35.49821641710069
transformer.h.11.attn.c_proj.weight,184518,405306,589824,31.2835693359375
transformer.h.11.ln_2.weight,768,0,768,100.0
transformer.h.11.mlp.c_fc.weight,897654,1461642,2359296,38.04753621419271
transformer.h.11.mlp.c_proj.weight,648647,1710649,2359296,27.493243747287327
transformer.ln_f.weight,768,0,768,100.0
